target_velocities,holding_time,rpm
0,1,0
3750,1,0.375
7500,1,0.75
11250,1,1.125
15000,1,1.5
18750,1,1.875
22500,1,2.25
26250,1,2.625
30000,1,3
33750,1,3.375
37500,1,3.75
41250,1,4.125
45000,1,4.5
48750,1,4.875
52500,1,5.25
56250,1,5.625
60000,1,6
63750,1,6.375
67500,1,6.75
71250,1,7.125
75000,1,7.5
78750,1,7.875
82500,1,8.25
86250,1,8.625
90000,1,9
93750,1,9.375
97500,1,9.75
101250,1,10.125
105000,1,10.5
108750,1,10.875
112500,1,11.25
116250,1,11.625
120000,1,12
123750,1,12.375
127500,1,12.75
131250,1,13.125
135000,1,13.5
138750,1,13.875
142500,1,14.25
146250,1,14.625
150000,1,15
153750,1,15.375
157500,1,15.75
161250,1,16.125
165000,1,16.5
168750,1,16.875
172500,1,17.25
176250,1,17.625
180000,1,18
183750,1,18.375
187500,1,18.75
191250,1,19.125
195000,1,19.5
198750,1,19.875
202500,1,20.25
206250,1,20.625
210000,1,21
213750,1,21.375
217500,1,21.75
221250,1,22.125
225000,1,22.5
228750,1,22.875
232500,1,23.25
236250,1,23.625
240000,1,24
243750,1,24.375
247500,1,24.75
251250,1,25.125
255000,1,25.5
258750,1,25.875
262500,1,26.25
266250,1,26.625
270000,1,27
273750,1,27.375
277500,1,27.75
281250,1,28.125
285000,1,28.5
288750,1,28.875
292500,1,29.25
296250,1,29.625
300000,1,30
303750,1,30.375
307500,1,30.75
311250,1,31.125
315000,1,31.5
318750,1,31.875
322500,1,32.25
326250,1,32.625
330000,1,33
333750,1,33.375
337500,1,33.75
341250,1,34.125
345000,1,34.5
348750,1,34.875
352500,1,35.25
356250,1,35.625
360000,1,36
363750,1,36.375
367500,1,36.75
371250,1,37.125
375000,1,37.5
378750,1,37.875
382500,1,38.25
386250,1,38.625
390000,1,39
393750,1,39.375
397500,1,39.75
401250,1,40.125
405000,1,40.5
408750,1,40.875
412500,1,41.25
416250,1,41.625
420000,1,42
423750,1,42.375
427500,1,42.75
431250,1,43.125
435000,1,43.5
438750,1,43.875
442500,1,44.25
446250,1,44.625
450000,1,45
453750,1,45.375
457500,1,45.75
461250,1,46.125
465000,1,46.5
468750,1,46.875
472500,1,47.25
476250,1,47.625
480000,1,48
483750,1,48.375
487500,1,48.75
491250,1,49.125
495000,1,49.5
498750,1,49.875
502500,1,50.25
506250,1,50.625
510000,1,51
513750,1,51.375
517500,1,51.75
521250,1,52.125
525000,1,52.5
528750,1,52.875
532500,1,53.25
536250,1,53.625
540000,1,54
543750,1,54.375
547500,1,54.75
551250,1,55.125
555000,1,55.5
558750,1,55.875
562500,1,56.25
566250,1,56.625
570000,1,57
573750,1,57.375
